sim,Strategy,Cost,QALYs,NMB
8,MenACWY,4971.593429026703,4493.446119168291,224667334.36498553
8,MenACWY_MenB,20291.574342730506,4493.446119168291,224652014.38407183
8,MenABCWY,6710.111437018997,4493.446119168291,224665595.84697753
9,MenC,2658.7997171532556,4302.835846565135,215139133.5285396
9,MenACWY,5190.595318738136,4302.835846565135,215136601.73293802
9,MenACWY_MenB,19934.62153870956,4302.835846565135,215121857.70671806
9,MenABCWY,7084.12019315406,4302.835846565135,215134708.2080636
10,MenC,2651.109957941901,4583.74384447841,229184541.1139626
10,MenACWY,5401.478950522614,4583.74384447841,229181790.74497
10,MenACWY_MenB,22636.04622584629,4583.74384447841,229164556.17769468
10,MenABCWY,6672.996895205766,4583.74384447841,229180519.22702533
11,MenC,2451.5044717403434,3307.6058850858076,165377842.74981862
11,MenACWY,5276.025314622013,3307.6058850858076,165375018.22897574
11,MenACWY_MenB,21097.6208501769,3307.6058850858076,165359196.6334402
11,MenABCWY,6703.880059515521,3307.6058850858076,165373590.37423086
12,MenC,2447.336315294217,4362.138235975631,218104464.46246624
12,MenACWY,4949.377981623821,4362.138235975631,218101962.4207999
12,MenACWY_MenB,22944.445783493487,4362.138235975631,218083967.35299805
12,MenABCWY,6563.876646949103,4362.138235975631,218100347.9221346
13,MenC,2178.986682475325,4315.646125826039,215780127.30461946
13,MenACWY,4632.1171266143665,4315.646125826039,215777674.17417532
13,MenACWY_MenB,20738.071644204145,4315.646125826039,215761568.21965772
13,MenABCWY,7036.775898942698,4315.646125826039,215775269.515403
14,MenC,2314.8610234743655,4345.8056457131215,217287967.42463258
14,MenACWY,4989.739642737193,4345.8056457131215,217285292.54601333
14,MenACWY_MenB,23181.431931398907,4345.8056457131215,217267100.85372466
14,MenABCWY,7099.061506195577,4345.8056457131215,217283183.22414988
15,MenC,2288.1175661061084,4266.38354786977,213316889.2759224
15,MenACWY,5210.743438871877,4266.38354786977,213313966.65004963
15,MenACWY_MenB,21515.44750305222,4266.38354786977,213297661.94598544
15,MenABCWY,6995.425922068628,4266.38354786977,213312181.96756643
16,MenC,2340.7365456263083,4368.524022207562,218423860.37383246
16,MenACWY,5094.79867151538,4368.524022207562,218421106.31170657
16,MenACWY_MenB,20745.76204696009,4368.524022207562,218405455.34833112
16,MenABCWY,7152.851721819201,4368.524022207562,218419048.25865626
17,MenC,2413.4483504278455,4347.7448087911025,217384826.9912047
17,MenACWY,4803.267898425172,4347.7448087911025,217382437.17165673
17,MenACWY_MenB,19799.131320158296,4347.7448087911025,217367441.308235
17,MenABCWY,6891.226285428105,4347.7448087911025,217380349.2132697
18,MenC,2589.5438416195857,4450.277107672883,222511265.83980253
18,MenACWY,4796.803177883982,4450.277107672883,222509058.58046627
18,MenACWY_MenB,18561.8930696118,4450.277107672883,222495293.49057454
18,MenABCWY,6792.272471091508,4450.277107672883,222507063.11117306
19,MenC,2416.3464437823095,4207.157103017923,210355438.8044524
19,MenACWY,5056.979855927319,4207.157103017923,210352798.17104024
19,MenACWY_MenB,22277.861704347844,4207.157103017923,210335577.2891918
19,MenABCWY,6818.811231396667,4207.157103017923,210351036.33966476
20,MenC,2201.5428545646296,4464.490637589628,223222330.33662683
20,MenACWY,5191.48576504988,4464.490637589628,223219340.39371637
20,MenACWY_MenB,19713.29210403548,4464.490637589628,223204818.58737737
20,MenABCWY,6340.978684769059,4464.490637589628,223218190.90079662
21,MenC,2621.4732894336044,4335.267848126327,216760770.93302694
21,MenACWY,5222.250399305512,4335.267848126327,216758170.15591708
21,MenACWY_MenB,22155.82427984633,4335.267848126327,216741236.58203653
21,MenABCWY,6884.013784329381,4335.267848126327,216756508.39253205
22,MenC,2561.73034101971,4127.2879200840725,206361834.2738626
22,MenACWY,4046.1174170466793,4127.2879200840725,206360349.88678658
22,MenACWY_MenB,18835.201396036548,4127.2879200840725,206345560.80280757
22,MenABCWY,6188.797114486639,4127.2879200840725,206358207.20708913
23,MenC,2357.767511459655,4383.026065107853,219148945.4878812
23,MenACWY,5357.39343729477,4383.026065107853,219145945.86195537
23,MenACWY_MenB,23686.498011012332,4383.026065107853,219127616.75738165
23,MenABCWY,7580.361281236912,4383.026065107853,219143722.89411142
24,MenC,2442.360097237406,4271.786363482085,213586875.814007
24,MenACWY,5193.510725995483,4271.786363482085,213584124.66337824
24,MenACWY_MenB,23539.611416061834,4271.786363482085,213565778.56268817
