pars,par_value_min,par_value_max,strategy,QALYs_min,QALYs_max,Inc_QALYs_min,Inc_QALYs_max
mult_p_W,0.5,1.5,MenACWY,4284.035523684161,4283.964187936747,0.015874041911047243,0.02251346499815554
mult_p_W,0.5,1.5,MenACWY_MenB,4284.046371706973,4283.975035752532,0.02672206472379912,0.033361280782628455
mult_p_W,0.5,1.5,MenABCWY,4284.042333300715,4283.970997433962,0.02268365846521192,0.029322962212972925
mult_p_Y,0.5,1.5,MenC,4284.028039072962,4283.933285264912,0,0
mult_p_Y,0.5,1.5,MenACWY,4284.040956003423,4283.958755765423,0.01291693046096043,0.025470500510891725
mult_p_Y,0.5,1.5,MenACWY_MenB,4284.051804039857,4283.969603567584,0.023764966895214457,0.0363183026720435
mult_p_Y,0.5,1.5,MenABCWY,4284.047765628752,4283.965565253864,0.01972655578992999,0.03227998895181372
mult_cfr_B,0.5,1.5,MenC,4283.980661763049,4283.980661763049,0,0
mult_cfr_B,0.5,1.5,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
mult_cfr_B,0.5,1.5,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
mult_cfr_B,0.5,1.5,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
mult_cfr_C,0.5,1.5,MenC,4283.980661763049,4283.980661763049,0,0
mult_cfr_C,0.5,1.5,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
mult_cfr_C,0.5,1.5,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
mult_cfr_C,0.5,1.5,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
mult_cfr_W,0.5,1.5,MenC,4283.980661763049,4283.980661763049,0,0
mult_cfr_W,0.5,1.5,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
mult_cfr_W,0.5,1.5,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
mult_cfr_W,0.5,1.5,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
mult_cfr_Y,0.5,1.5,MenC,4283.980661763049,4283.980661763049,0,0
mult_cfr_Y,0.5,1.5,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
mult_cfr_Y,0.5,1.5,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
mult_cfr_Y,0.5,1.5,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
ve_scale_B,0.8,1.2,MenC,4283.980661763049,4283.980661763049,0,0
ve_scale_B,0.8,1.2,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
ve_scale_B,0.8,1.2,MenACWY_MenB,4284.008533881904,4284.012873053925,0.02787211885515717,0.03221129087614827
ve_scale_B,0.8,1.2,MenABCWY,4284.005303193035,4284.008027017437,0.024641429985422292,0.027365254387405002
ve_scale_C,0.8,1.2,MenC,4283.980192344824,4283.981131181322,0,0
ve_scale_C,0.8,1.2,MenACWY,4283.999386127992,4284.0003249684305,0.0191937831677933,0.019193787108633842
ve_scale_C,0.8,1.2,MenACWY_MenB,4284.010234046101,4284.011172888915,0.030041701276786625,0.03004170759322733
ve_scale_C,0.8,1.2,MenABCWY,4284.006195684207,4284.007134525984,0.026003339383350976,0.026003344662058225
ve_scale_W,0.8,1.2,MenC,4283.980661763049,4283.980661763049,0,0
ve_scale_W,0.8,1.2,MenACWY,4283.998527587889,4284.001183508868,0.01786582483964594,0.020521745818768977
ve_scale_W,0.8,1.2,MenACWY_MenB,4284.009375503876,4284.0120314314745,0.028713740826788126,0.031369668425213604
ve_scale_W,0.8,1.2,MenABCWY,4284.005337142803,4284.007993067724,0.024675379753716697,0.027331304674589774
ve_scale_Y,0.8,1.2,MenC,4283.980661763049,4283.980661763049,0,0
ve_scale_Y,0.8,1.2,MenACWY,4283.997344744359,4284.0023663533775,0.016682981309713796,0.021704590328226914
ve_scale_Y,0.8,1.2,MenACWY_MenB,4284.008192657397,4284.013214278933,0.027530894347364665,0.03255251588416286
ve_scale_Y,0.8,1.2,MenABCWY,4284.004154297552,4284.009175913953,0.02349253450302058,0.02851415090390219
