pars,par_value_min,par_value_max,strategy,Cost_min,Cost_max,Inc_Cost_min,Inc_Cost_max
p_seq_overall,0.2,0.3,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_IMD,0.86,0.9600000000000001,MenC,2670.139060542352,2670.139060542352,0,0
u_IMD,0.86,0.9600000000000001,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_IMD,0.86,0.9600000000000001,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_IMD,0.86,0.9600000000000001,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_Scarring,0.8999999999999999,0.99,MenC,2670.139060542352,2670.139060542352,0,0
u_Scarring,0.8999999999999999,0.99,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_Scarring,0.8999999999999999,0.99,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_Scarring,0.8999999999999999,0.99,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_Single_Amput,0.6499999999999999,0.75,MenC,2670.139060542352,2670.139060542352,0,0
u_Single_Amput,0.6499999999999999,0.75,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_Single_Amput,0.6499999999999999,0.75,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_Single_Amput,0.6499999999999999,0.75,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_Multiple_Amput,0.5599999999999999,0.66,MenC,2670.139060542352,2670.139060542352,0,0
u_Multiple_Amput,0.5599999999999999,0.66,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_Multiple_Amput,0.5599999999999999,0.66,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_Multiple_Amput,0.5599999999999999,0.66,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_Neuro_Disability,0.01,0.11,MenC,2670.139060542352,2670.139060542352,0,0
u_Neuro_Disability,0.01,0.11,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_Neuro_Disability,0.01,0.11,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_Neuro_Disability,0.01,0.11,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_Hearing_Loss,0.6699999999999999,0.77,MenC,2670.139060542352,2670.139060542352,0,0
u_Hearing_Loss,0.6699999999999999,0.77,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_Hearing_Loss,0.6699999999999999,0.77,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_Hearing_Loss,0.6699999999999999,0.77,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_Renal_Failure,0.7699999999999999,0.87,MenC,2670.139060542352,2670.139060542352,0,0
u_Renal_Failure,0.7699999999999999,0.87,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_Renal_Failure,0.7699999999999999,0.87,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_Renal_Failure,0.7699999999999999,0.87,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_Seizure,0.7799999999999999,0.88,MenC,2670.139060542352,2670.139060542352,0,0
u_Seizure,0.7799999999999999,0.88,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_Seizure,0.7799999999999999,0.88,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_Seizure,0.7799999999999999,0.88,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_Paralysis,0.21000000000000002,0.31,MenC,2670.139060542352,2670.139060542352,0,0
u_Paralysis,0.21000000000000002,0.31,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_Paralysis,0.21000000000000002,0.31,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_Paralysis,0.21000000000000002,0.31,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_Scarring,9531.9,17702.100000000002,MenC,2670.139060542352,2670.139060542352,0,0
c_Scarring,9531.9,17702.100000000002,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
c_Scarring,9531.9,17702.100000000002,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
